customer_id,first_name,last_name,gender,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,property_valuation,address_id
1,Laraine,Medendorp,F,1953-10-12,Executive Secretary,Health,Mass Customer,N,Yes,10,1
2,Eli,Bockman,Male,1980-12-16,Administrative Officer,Financial Services,Mass Customer,N,Yes,10,2
3,Arlin,Dearle,Male,1954-01-20,Recruiting Manager,Property,Mass Customer,N,Yes,9,3
4,Talbot,,Male,1961-10-03,,IT,Mass Customer,N,No,4,4
5,Sheila-kathryn,Calton,Female,1977-05-13,Senior Editor,,Affluent Customer,N,Yes,9,5
6,Curr,Duckhouse,Male,1966-09-16,,Retail,High Net Worth,N,Yes,9,6
7,Fina,Merali,Female,1976-02-23,,Financial Services,Affluent Customer,N,Yes,4,7
8,Rod,Inder,Male,1962-03-30,Media Manager I,,Mass Customer,N,No,12,8
9,Mala,Lind,Female,1973-03-10,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes,8,9
10,Fiorenze,Birdall,Female,1988-10-11,Senior Quality Engineer,Financial Services,Mass Customer,N,Yes,4,10
11,Uriah,Bisatt,Male,1954-04-30,,Property,Mass Customer,N,No,6,11
12,Sawyere,Flattman,Male,1994-07-21,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,8,12
13,Gabriele,Norcross,Male,1955-02-15,Developer I,Financial Services,High Net Worth,N,Yes,9,13
14,Rayshell,Kitteman,Female,1983-03-25,Account Executive,Financial Services,Affluent Customer,N,No,4,14
15,Erroll,Radage,Male,2000-07-13,Junior Executive,Manufacturing,Mass Customer,N,No,9,15
16,Harlin,Parr,Male,1977-02-27,Media Manager IV,,Mass Customer,N,Yes,12,16
17,Heath,Faraday,Male,1962-03-19,Sales Associate,,Affluent Customer,N,Yes,9,17
18,Marjie,Neasham,Female,1967-07-06,Professor,,Affluent Customer,N,No,8,18
19,Sorcha,Keyson,Female,2001-04-15,Geological Engineer,Manufacturing,High Net Worth,N,No,7,19
20,Basile,Firth,Male,1980-08-13,Project Manager,Manufacturing,Mass Customer,N,No,10,20
21,Mile,Cammocke,Male,1980-09-20,Safety Technician I,Manufacturing,Affluent Customer,N,Yes,3,21
22,Deeanne,Durtnell,Female,1962-12-10,,IT,Mass Customer,N,No,5,22
23,Olav,Polak,Male,1995-02-10,,,High Net Worth,N,Yes,7,23
24,Kim,Skpsey,Female,1977-12-03,Research Assistant I,Argiculture,Mass Customer,N,Yes,4,24
25,Geoff,Assaf,Male,1976-12-02,Accounting Assistant III,Financial Services,Mass Customer,N,Yes,7,25
26,Trixi,Ginnelly,Female,1978-06-10,Editor,Financial Services,Mass Customer,N,Yes,11,26
27,Garvin,Klees,Male,1978-09-25,Research Nurse,Health,Mass Customer,N,Yes,12,27
28,Fee,Zellmer,Male,1973-09-30,Senior Quality Engineer,Health,Affluent Customer,N,Yes,9,28
29,Mona,Sancraft,Female,1968-06-22,Safety Technician III,Manufacturing,Mass Customer,N,No,9,29
30,Darrick,Helleckas,Male,1961-10-18,,IT,Affluent Customer,N,Yes,8,30
31,Star,Praton,Female,1962-11-24,Staff Accountant III,Telecommunications,High Net Worth,N,Yes,6,31
32,Marion,Vanichkin,Female,1995-04-20,Legal Assistant,Manufacturing,Affluent Customer,N,No,8,32
33,Ernst,Hacon,Male,1957-06-25,Product Engineer,,Affluent Customer,N,Yes,1,33
34,Jephthah,Bachmann,U,1843-12-21,Legal Assistant,IT,Affluent Customer,N,No,4,34
35,Margaretha,Strettle,Female,1963-09-28,Information Systems Manager,Health,High Net Worth,N,Yes,10,35
36,Lurette,Stonnell,Female,1977-11-09,VP Quality Control,,Affluent Customer,N,No,8,36
